Date,Price,Open,High,Low,Vol
3/24/2017,10616.8,10747.8,10878.9,10551.2,2.67
3/27/2017,10551.2,10616.8,10813.4,10551.2,2.29
3/28/2017,10551.2,10551.2,10813.4,10485.7,2.76
3/29/2017,10485.7,10616.8,10616.8,10420.2,1.99
3/30/2017,10420.2,10485.7,10616.8,10420.2,1.99
3/31/2017,10354.6,10420.2,10485.7,10289.1,1.82
4/3/2017,10289.1,10354.6,10420.2,10223.6,2.06
4/4/2017,10223.6,9306.1,10420.2,9306.1,1.26
4/5/2017,10289.1,10223.6,10354.6,10223.6,1.53
4/7/2017,10223.6,10354.6,10354.6,10158,1.38
4/10/2017,10092.5,10223.6,10289.1,10026.9,1.92
4/11/2017,10289.1,10158,10485.7,10158,2.23
4/12/2017,10158,10354.6,10354.6,10026.9,1.59
4/13/2017,10026.9,10289.1,10289.1,10026.9,873.69
4/14/2017,9961.4,10026.9,10026.9,9830.3,2.28
4/17/2017,9764.8,10026.9,10092.5,9764.8,2.13
4/18/2017,9830.3,9699.3,9961.4,9633.7,2.48
4/19/2017,9895.9,9895.9,10026.9,9830.3,1.6
4/20/2017,9568.2,9895.9,9961.4,9568.2,2.1
4/21/2017,9699.3,9633.7,9830.3,9568.2,1.71
4/24/2017,9568.2,9764.8,9764.8,9568.2,1.16
4/25/2017,9502.7,9568.2,9568.2,9371.6,1.48
4/26/2017,9699.3,9502.7,9699.3,9502.7,1.35
4/27/2017,10092.5,9699.3,10092.5,9633.7,2.56
4/28/2017,10289.1,9961.4,10420.2,9961.4,3.21
5/3/2017,10223.6,10289.1,10289.1,10092.5,1.12
5/4/2017,10158,10223.6,10354.6,10158,1.92
5/5/2017,10026.9,10158,10158,10026.9,1.17
5/8/2017,10289.1,10092.5,10289.1,10026.9,1.91
5/9/2017,10420.2,10289.1,10616.8,10289.1,2.93
5/10/2017,10354.6,10485.7,10616.8,10289.1,2.66
5/11/2017,10223.6,10420.2,10420.2,10223.6,2.18
5/12/2017,10354.6,10354.6,10354.6,10223.6,1.79
5/15/2017,11337.7,10485.7,11337.7,10420.2,8.85
5/16/2017,11272.1,11599.8,12451.8,11272.1,5.68
5/17/2017,12255.2,11272.1,12386.2,11272.1,7.3
5/18/2017,11993,13434.8,13434.8,11993,5.42
5/19/2017,11993,11993,12320.7,11665.3,4.77
5/22/2017,11861.9,11993,12582.8,11861.9,5.24
5/23/2017,11665.3,11861.9,11993,11534.3,4.98
5/24/2017,11730.9,10551.2,11861.9,10551.2,3.02
5/25/2017,11993,11796.4,12255.2,11730.9,3.17
5/26/2017,11993,11993,12058.5,11927.5,1.75
5/29/2017,12386.2,12124.1,12779.4,12124.1,4.79
5/30/2017,12058.5,12451.8,12648.4,11993,3.1
5/31/2017,11796.4,11927.5,12124.1,11665.3,3.23
6/1/2017,11861.9,11468.7,12058.5,11468.7,1.58
6/2/2017,11665.3,11861.9,11993,11665.3,2.84
6/5/2017,11796.4,11665.3,11993,11534.3,2.35
6/6/2017,11927.5,11796.4,11993,11796.4,1.18
6/7/2017,12058.5,11927.5,12320.7,11927.5,2.09
6/8/2017,11927.5,12124.1,12124.1,11927.5,3.18
6/9/2017,12189.6,10747.8,12255.2,10747.8,3.04
6/12/2017,12189.6,11141.1,12255.2,11141.1,2.26
6/13/2017,12189.6,11010,12189.6,11010,1.19
6/14/2017,12386.2,11010,12779.4,11010,4.82
