Date,Price,Open,High,Low,Vol
3/9/2017,16392.4,16500.5,16536.5,16392.4,1190
3/10/2017,16572.5,16500.5,16716.7,16464.5,2780
3/13/2017,16482.5,16608.6,16680.6,16464.5,1070
3/14/2017,16464.5,16500.5,16644.6,16464.5,1390
3/15/2017,16410.4,16464.5,16536.5,16374.4,1460
3/16/2017,16464.5,16428.4,16536.5,16392.4,1410
3/17/2017,16536.5,16536.5,16680.6,16482.5,2280
3/20/2017,16788.7,16536.5,16824.7,16536.5,3630
3/21/2017,16788.7,16860.8,17022.9,16788.7,4340
3/22/2017,16608.6,16824.7,16842.8,16608.6,2790
3/23/2017,17293.1,16572.5,17293.1,16536.5,4680
3/24/2017,17185,17437.2,17653.4,17094.9,4470
3/27/2017,17149,17149,17293.1,17022.9,2360
3/28/2017,17076.9,17149,17383.2,17040.9,2680
3/29/2017,17113,17076.9,17221,17004.9,1400
3/30/2017,16968.8,17113,17239.1,16968.8,1740
3/31/2017,17040.9,16968.8,17185,16932.8,2800
4/3/2017,16716.7,17040.9,17113,16716.7,4610
4/4/2017,16932.8,16698.6,16932.8,16698.6,2260
4/5/2017,16770.7,16932.8,16932.8,16770.7,1380
4/7/2017,16932.8,16698.6,16950.8,16698.6,2080
4/10/2017,16932.8,16932.8,17022.9,16896.8,974.18
4/11/2017,16914.8,16932.8,17040.9,16860.8,935.32
4/12/2017,17131,16932.8,17203,16914.8,2990
4/13/2017,17022.9,17058.9,17149,17004.9,1200
4/14/2017,16590.6,16968.8,16986.9,16536.5,3330
4/17/2017,16464.5,16590.6,16752.7,16464.5,2460
4/18/2017,16572.5,16464.5,16572.5,16338.4,1380
4/19/2017,16572.5,16572.5,16716.7,16536.5,2610
4/20/2017,16518.5,16572.5,16698.6,16500.5,1210
4/21/2017,16518.5,16644.6,16716.7,16518.5,941.25
4/24/2017,16482.5,16518.5,16590.6,16446.5,1080
4/25/2017,16446.5,16428.4,16572.5,16392.4,1390
4/26/2017,16572.5,16536.5,16590.6,16464.5,1120
4/27/2017,16752.7,16608.6,16824.7,16608.6,2310
4/28/2017,16734.7,16716.7,16770.7,16572.5,1030
5/3/2017,16932.8,16824.7,17040.9,16734.7,1860
5/4/2017,16932.8,16932.8,17076.9,16896.8,1600
5/5/2017,16968.8,16932.8,17022.9,16896.8,714.24
5/8/2017,16932.8,16896.8,16986.9,16860.8,849.25
5/9/2017,17401.2,17004.9,17401.2,17004.9,2700
5/10/2017,17329.1,17473.2,17635.4,17329.1,3620
5/11/2017,17329.1,17329.1,17437.2,17167,1640
