Date,Price,Open,High,Low,Vol
15/03/2017,12199.9,12088.7,12199.9,12051.6,1480000
16/03/2017,12125.8,12199.9,12274.1,12051.6,2340000
17/03/2017,12385.4,12125.8,12422.4,12088.7,5840000
20/03/2017,12422.4,12385.4,12459.5,12199.9,3790000
21/03/2017,12904.5,12459.5,12904.5,12459.5,12590000
22/03/2017,12904.5,12904.5,13089.9,12830.3,11720000
23/03/2017,12941.6,12904.5,13089.9,12756.2,4350000
24/03/2017,13275.3,13089.9,13275.3,12904.5,10370000
27/03/2017,13164.1,13349.5,13460.7,13089.9,9070000
28/03/2017,12904.5,13052.8,13201.2,12904.5,3940000
29/03/2017,12904.5,12941.6,12941.6,12682,5070000
30/03/2017,13164.1,12904.5,13238.2,12867.4,6880000
31/03/2017,13015.8,13164.1,13164.1,12904.5,3020000
3/4/2017,12719.1,12941.6,13015.8,12719.1,3830000
4/4/2017,12756.2,12830.3,12941.6,12644.9,3980000
5/4/2017,12719.1,12756.2,12867.4,12682,4100000
7/4/2017,12682,12682,12793.3,12459.5,5110000
10/4/2017,12607.9,12756.2,12793.3,12607.9,4040000
11/4/2017,12607.9,12607.9,12644.9,12422.4,4120000
12/4/2017,12607.9,12607.9,12756.2,12459.5,4120000
13/04/2017,12533.7,12533.7,12682,12459.5,5050000
14/04/2017,12644.9,12385.4,12644.9,12199.9,5140000
17/04/2017,12162.9,12607.9,12644.9,12162.9,3320000
18/04/2017,12237,12162.9,12237,12014.5,4270000
19/04/2017,12088.7,12237,12237,12088.7,2770000
20/04/2017,12311.2,12088.7,12533.7,11977.5,4120000
21/04/2017,12274.1,12422.4,12533.7,12237,2920000
24/04/2017,12125.8,12237,12311.2,12088.7,1150000
25/04/2017,12125.8,12162.9,12237,12014.5,2570000
26/04/2017,12237,12088.7,12422.4,11977.5,3890000
27/04/2017,12311.2,12237,12385.4,12199.9,1640000
28/04/2017,12311.2,12088.7,12385.4,12088.7,5100000
3/5/2017,12311.2,12311.2,12459.5,12237,2680000
4/5/2017,12459.5,12311.2,12644.9,12199.9,4530000
5/5/2017,12274.1,12459.5,12459.5,12162.9,3220000
8/5/2017,12237,12348.3,12348.3,12088.7,3460000
9/5/2017,12311.2,12162.9,12385.4,12125.8,4260000
10/5/2017,12682,12311.2,12830.3,12311.2,7800000
11/5/2017,12607.9,12682,12793.3,12607.9,4320000
12/5/2017,12570.8,12607.9,12830.3,12533.7,4070000
15/05/2017,12533.7,12533.7,12570.8,12385.4,3890000
16/05/2017,12533.7,12607.9,12644.9,12385.4,4470000
17/05/2017,12385.4,12459.5,12533.7,12348.3,2880000
18/05/2017,12459.5,12385.4,12644.9,12348.3,4110000
19/05/2017,12756.2,12496.6,12756.2,12422.4,6780000
22/05/2017,13646.1,12904.5,13646.1,12904.5,19750000
23/05/2017,13757.4,13646.1,14202.4,13460.7,12710000
24/05/2017,14276.5,13683.2,14350.7,13572,12100000
25/05/2017,14165.3,14276.5,14610.3,14091.1,10770000
26/05/2017,14461.9,14091.1,14461.9,14091.1,8380000
29/05/2017,14091.1,14461.9,14684.4,14017,8600000
30/05/2017,13609.1,14017,14239.5,13609.1,9460000
31/05/2017,13683.2,13609.1,13794.5,13460.7,5870000
1/6/2017,13572,13720.3,13831.6,13572,4000000
2/6/2017,13534.9,13572,13646.1,13312.4,6340000
5/6/2017,13868.6,13720.3,13942.8,13646.1,3990000
6/6/2017,14387.8,13794.5,14424.9,13720.3,10940000
7/6/2017,14387.8,14461.9,14647.4,14313.6,8380000
8/6/2017,14165.3,14313.6,14387.8,14017,4750000
9/6/2017,13979.9,14165.3,14276.5,13942.8,6010000
12/6/2017,14054,14017,14276.5,13905.7,5610000
13/06/2017,14461.9,14091.1,14610.3,14017,5560000
14/06/2017,14832.8,14610.3,14906.9,14573.2,9360000
15/06/2017,14684.4,14906.9,14906.9,14573.2,7330000
16/06/2017,14647.4,14610.3,14758.6,14573.2,4700000
19/06/2017,14832.8,14832.8,14869.8,14684.4,6050000
20/06/2017,15240.7,15055.3,15277.7,14906.9,8360000
21/06/2017,15055.3,15129.4,15277.7,14721.5,9110000
22/06/2017,14721.5,15129.4,15203.6,14721.5,5910000
23/06/2017,14758.6,14610.3,14758.6,14536.1,5120000
26/06/2017,14981.1,14758.6,15092.3,14684.4,5130000
27/06/2017,14758.6,14981.1,15092.3,14758.6,4980000
28/06/2017,14795.7,14721.5,14981.1,14610.3,4510000
29/06/2017,15055.3,14944,15277.7,14944,6810000
30/06/2017,15129.4,14981.1,15129.4,14981.1,3420000
3/7/2017,15351.9,15129.4,15537.3,15129.4,4660000
4/7/2017,15055.3,15500.2,15500.2,14981.1,4980000
5/7/2017,15129.4,15092.3,15166.5,14981.1,4770000
6/7/2017,15055.3,15203.6,15351.9,14944,6390000
7/7/2017,14981.1,15055.3,15277.7,14944,6140000
10/7/2017,14610.3,14981.1,15055.3,14610.3,5380000
11/7/2017,14610.3,14610.3,14647.4,14128.2,3030000
12/7/2017,14313.6,14610.3,14610.3,14313.6,2790000
13/07/2017,14499,14313.6,14573.2,14276.5,1800000
14/07/2017,14313.6,14610.3,14610.3,14313.6,2030000
17/07/2017,14017,14424.9,14461.9,13979.9,3150000
18/07/2017,14054,13979.9,14165.3,13868.6,2500000
19/07/2017,14128.2,14202.4,14276.5,14091.1,2250000
20/07/2017,14536.1,14276.5,14536.1,14091.1,3630000
21/07/2017,14276.5,14610.3,14684.4,14276.5,3580000
24/07/2017,14387.8,14239.5,14461.9,14054,1910000
25/07/2017,15203.6,14387.8,15203.6,14387.8,6110000
26/07/2017,15277.7,15129.4,15500.2,15092.3,6210000
27/07/2017,15351.9,15277.7,15463.2,15129.4,4970000
28/07/2017,15574.4,15463.2,15722.7,15277.7,6800000
31/07/2017,16464.4,15648.6,16575.6,15648.6,8460000
1/8/2017,16464.4,16316,16575.6,16167.7,4470000
2/8/2017,16649.8,16204.8,17020.6,16056.5,8590000
3/8/2017,16983.5,16612.7,17057.7,16612.7,5560000
4/8/2017,16612.7,16983.5,16983.5,16612.7,3230000
7/8/2017,16686.9,16464.4,16723.9,16464.4,3910000
8/8/2017,16761,16761,16835.2,16612.7,3730000
9/8/2017,15613,16914.1,16914.1,15613,12180000
10/8/2017,15536.5,15459.9,15919.1,14847.7,5600000
11/8/2017,15536.5,15459.9,15613,15153.8,3070000
14/08/2017,15919.1,15536.5,15919.1,15306.9,2180000
15/08/2017,15536.5,15880.9,15919.1,15536.5,2240000
16/08/2017,15306.9,15536.5,15613,15153.8,2520000
17/08/2017,14694.6,15306.9,15421.7,14618.1,7090000
18/08/2017,15115.5,14541.5,15306.9,14388.5,2830000
21/08/2017,15039,15115.5,15192.1,14694.6,1290000
22/08/2017,14656.3,15000.7,15000.7,14656.3,2260000
23/08/2017,14847.7,14656.3,14924.2,14579.8,1480000
24/08/2017,15153.8,14885.9,15230.3,14847.7,2540000
25/08/2017,15115.5,15230.3,15383.4,15077.3,2230000
28/08/2017,15039,15115.5,15230.3,14962.5,1500000
29/08/2017,15039,15039,15230.3,15000.7,2060000
30/08/2017,14809.4,15077.3,15077.3,14809.4,2170000
31/08/2017,15842.6,14847.7,15842.6,14809.4,6820000
1/9/2017,16110.5,16148.7,16531.4,15880.9,4750000
5/9/2017,16033.9,16072.2,16072.2,15766.1,2230000
6/9/2017,15766.1,15842.6,15995.7,15651.3,3320000
7/9/2017,15957.4,15727.8,16225.3,15727.8,3000000
8/9/2017,15574.7,15957.4,15957.4,15574.7,2700000
11/9/2017,15459.9,15459.9,15766.1,15306.9,2010000
12/9/2017,15689.5,15383.4,15842.6,15345.1,1370000
13/09/2017,15689.5,15804.3,15842.6,15574.7,1090000
14/09/2017,15804.3,15574.7,15957.4,15536.5,2050000
15/09/2017,15613,15804.3,15804.3,15574.7,957940
18/09/2017,15689.5,15613,15842.6,15574.7,2350000
19/09/2017,15804.3,15766.1,15957.4,15651.3,2230000
20/09/2017,15689.5,15804.3,15804.3,15613,1470000
21/09/2017,15957.4,15613,15995.7,15574.7,4460000
22/09/2017,15766.1,15842.6,15995.7,15766.1,1940000
25/09/2017,15613,15766.1,15804.3,15536.5,1630000
26/09/2017,15613,15613,15766.1,15574.7,1760000
27/09/2017,15459.9,15613,15689.5,15459.9,1600000
28/09/2017,15039,15459.9,15613,15039,3300000
29/09/2017,15000.7,15039,15192.1,15000.7,2570000
2/10/2017,15077.3,15000.7,15306.9,15000.7,1660000
3/10/2017,15192.1,15153.8,15459.9,15077.3,3450000
4/10/2017,15345.1,15230.3,15459.9,15192.1,2260000
5/10/2017,15230.3,15459.9,15498.2,15192.1,1580000
6/10/2017,15268.6,15192.1,15459.9,15153.8,3160000
9/10/2017,15306.9,15459.9,15536.5,15306.9,2430000
10/10/2017,15306.9,15306.9,15459.9,15268.6,988690
11/10/2017,15536.5,15383.4,15651.3,15345.1,2580000
12/10/2017,15421.7,15536.5,15651.3,15421.7,1560000
13/10/2017,15459.9,15383.4,15498.2,15345.1,905980
16/10/2017,15574.7,15459.9,15651.3,15459.9,2170000
17/10/2017,16454.9,15613,16454.9,15613,7360000
18/10/2017,16378.3,16454.9,16607.9,16301.8,4880000
19/10/2017,16263.5,16225.3,16340.1,15919.1,2790000
20/10/2017,16378.3,16148.7,16416.6,16148.7,3520000
23/10/2017,15995.7,16225.3,16416.6,15919.1,2650000
24/10/2017,15880.9,15804.3,15995.7,15766.1,1250000
25/10/2017,16072.2,15842.6,16301.8,15842.6,1790000
26/10/2017,15842.6,15995.7,16225.3,15536.5,2450000
27/10/2017,16225.3,15842.6,16225.3,15727.8,1920000
30/10/2017,16722.8,16225.3,17067.2,16225.3,6940000
31/10/2017,16722.8,16684.5,16952.4,16454.9,3600000
1/11/2017,17143.7,16722.8,17182,16722.8,3190000
2/11/2017,16761,17143.7,17258.5,16454.9,2820000
3/11/2017,17143.7,16684.5,17143.7,16454.9,2520000
6/11/2017,17488.1,17143.7,17488.1,17028.9,2830000
7/11/2017,17488.1,17373.3,17641.2,17296.8,3020000
8/11/2017,18215.2,17488.1,18215.2,17373.3,3980000
9/11/2017,17985.6,18215.2,18291.7,17909,2930000
10/11/2017,18062.1,17832.5,18521.3,17832.5,3340000
13/11/2017,18330,18100.4,18330,18062.1,1830000
14/11/2017,18597.8,18330,18674.4,17985.6,2490000
15/11/2017,18521.3,18674.4,18674.4,18368.2,1440000
16/11/2017,18483,18406.5,18636.1,18138.6,3000000
17/11/2017,18406.5,18521.3,18597.8,17985.6,3170000
20/11/2017,18368.2,18215.2,18483,18100.4,1790000
21/11/2017,18406.5,18368.2,18750.9,18368.2,3020000
22/11/2017,19669.3,18406.5,19669.3,18368.2,5080000
23/11/2017,19363.2,19898.9,20281.6,19363.2,3330000
24/11/2017,19363.2,19363.2,19554.5,19133.6,2220000
27/11/2017,19286.7,19363.2,19554.5,19210.1,1640000
28/11/2017,19133.6,19286.7,19439.7,18789.2,2180000
29/11/2017,19592.8,19057,19592.8,19057,2070000
30/11/2017,19631.1,19898.9,20128.5,19516.3,1940000
1/12/2017,19516.3,19592.8,19631.1,19439.7,1650000
4/12/2017,19516.3,19669.3,20052,19516.3,1270000
5/12/2017,19057,19669.3,19669.3,19057,3060000
6/12/2017,19018.8,18904,19057,18750.9,2330000
7/12/2017,19133.6,19133.6,19248.4,18789.2,808640
8/12/2017,19133.6,19171.8,19286.7,18865.7,1070000
11/12/2017,18368.2,18291.7,18980.5,18291.7,1560000
