"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2023","20,900.0","21,000.0","21,100.0","20,650.0","7.10M","-0.48%"
"04/06/2023","21,000.0","21,250.0","21,950.0","20,950.0","25.59M","-0.24%"
"04/05/2023","21,050.0","20,800.0","21,200.0","20,700.0","10.24M","1.20%"
"04/04/2023","20,800.0","21,100.0","21,350.0","20,800.0","11.78M","-0.72%"
"04/03/2023","20,950.0","20,800.0","20,950.0","20,500.0","10.82M","2.95%"
"03/31/2023","20,350.0","20,550.0","20,650.0","19,950.0","9.52M","-0.49%"
"03/30/2023","20,450.0","21,100.0","21,200.0","20,450.0","7.78M","-1.45%"
"03/29/2023","20,750.0","20,700.0","20,850.0","20,450.0","7.50M","0.00%"
"03/28/2023","20,750.0","21,150.0","21,700.0","20,750.0","11.11M","-1.19%"
"03/27/2023","21,000.0","20,250.0","21,000.0","20,100.0","12.80M","4.22%"
"03/24/2023","20,150.0","19,800.0","20,500.0","19,800.0","11.32M","2.28%"
"03/23/2023","19,700.0","19,600.0","19,900.0","19,500.0","3.05M","0.00%"
"03/22/2023","19,700.0","20,050.0","20,300.0","19,700.0","4.47M","-1.25%"
"03/21/2023","19,950.0","19,800.0","20,000.0","19,400.0","3.88M","2.31%"
"03/20/2023","19,500.0","19,800.0","20,400.0","19,500.0","4.63M","-2.74%"
"03/17/2023","20,050.0","20,150.0","20,200.0","19,800.0","3.54M","0.75%"
"03/16/2023","19,900.0","19,900.0","20,100.0","19,500.0","3.80M","-1.73%"
"03/15/2023","20,250.0","19,900.0","20,350.0","19,600.0","4.15M","5.47%"
"03/14/2023","19,200.0","20,000.0","20,300.0","19,150.0","7.87M","-4.71%"
"03/13/2023","20,150.0","20,350.0","20,450.0","20,000.0","4.38M","-2.18%"
"03/10/2023","20,600.0","20,700.0","20,900.0","20,300.0","6.95M","-1.44%"
"03/09/2023","20,900.0","21,100.0","21,250.0","20,850.0","5.98M","-0.48%"
"03/08/2023","21,000.0","19,950.0","21,000.0","19,800.0","8.97M","4.48%"
"03/07/2023","20,100.0","20,100.0","20,200.0","19,800.0","3.25M","1.52%"
"03/06/2023","19,800.0","20,000.0","20,300.0","19,650.0","3.37M","1.02%"
"03/03/2023","19,600.0","20,000.0","20,400.0","19,600.0","4.79M","-1.75%"
"03/02/2023","19,950.0","20,550.0","20,650.0","19,900.0","2.94M","-2.21%"
"03/01/2023","20,400.0","19,200.0","20,400.0","19,050.0","5.05M","6.25%"
"02/28/2023","19,200.0","19,450.0","19,750.0","19,100.0","4.13M","0.00%"
"02/27/2023","19,200.0","19,800.0","19,900.0","19,000.0","7.00M","-4.71%"
